Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22,0.040111498943295396,0.044767182564057095,0.03557500511306033,0.03760487586259842,2714688000,0.0,0.0
1999-01-25,0.04058918065301179,0.04202127554597756,0.03760488569815153,0.04154452309012413,510480000,0.0,0.0
1999-01-26,0.04202127079500529,0.042857423315880556,0.03772406783925186,0.03832092881202698,343200000,0.0,0.0
1999-01-27,0.03844010684749726,0.03939544896889617,0.03629104987102288,0.03820173069834709,244368000,0.0,0.0
1999-01-28,0.038201732473944504,0.03844010863417428,0.03784325117889491,0.03808162733912468,227520000,0.0,0.0
1999-01-29,0.03808162353307094,0.0382017286558869,0.03629104793071747,0.03629104793071747,244032000,0.0,0.0
1999-02-01,0.0362910546503641,0.037246393482102506,0.0362910546503641,0.03700801730155945,154704000,0.0,0.0
1999-02-02,0.03629107273364487,0.037246412041414094,0.03306839717016653,0.03414292633533478,264096000,0.0,0.0
1999-02-03,0.033665245507967574,0.03533663183716461,0.033425950537228,0.034858960658311844,75120000,0.0,0.0
1999-02-04,0.03533662893282665,0.03772406586823927,0.03485895779323396,0.036768727004528046,181920000,0.0,0.0
1999-02-05,0.03736558603003649,0.03820173854077716,0.036411162475103204,0.037843257188797,136848000,0.0,0.0
1999-02-08,0.038081626179932646,0.03820173131109651,0.03653034195303917,0.03653034195303917,154080000,0.0,0.0
1999-02-09,0.03724639959681339,0.03748477923196509,0.034619670782485304,0.03509734198451042,86976000,0.0,0.0
1999-02-10,0.03509734349847007,0.03605268252825522,0.03414291640044597,0.03473977744579315,148224000,0.0,0.0
1999-02-11,0.03485895840075903,0.03915616120688361,0.03485895840075903,0.03772406652569771,132240000,0.0,0.0
1999-02-12,0.03820173727523719,0.04011150308442512,0.03820173727523719,0.03987312689423561,109728000,0.0,0.0
1999-02-16,0.04058917565487986,0.04226056533266094,0.03605267778127257,0.04011150449514389,211008000,0.0,0.0
1999-02-17,0.03915614728967395,0.03963381826781367,0.03724638213935536,0.037962429225444794,67728000,0.0,0.0
1999-02-18,0.039156160208951636,0.03963383134469532,0.037484774030594595,0.03855930268764496,70704000,0.0,0.0
1999-02-19,0.03820173727523719,0.04058917422736143,0.03772406613230088,0.03987312689423561,75360000,0.0,0.0
1999-02-22,0.04058917565487986,0.04106684681461582,0.03796244365762684,0.04011150449514389,205248000,0.0,0.0
1999-02-23,0.04106684363312758,0.042857419563740444,0.03867940678199439,0.042021267116069794,138096000,0.0,0.0
1999-02-24,0.048229144557973315,0.0501398252519688,0.044289508742849246,0.04536403715610504,612768000,0.0,0.0
1999-02-25,0.04727474146868253,0.048706839919402584,0.0432149985044441,0.04393196478486061,149136000,0.0,0.0
1999-02-26,0.04440962608920852,0.04584172080321577,0.0415445178986061,0.0419020839035511,172608000,0.0,0.0
1999-03-01,0.042976622737028326,0.043931965279817645,0.04011151387146475,0.0421413853764534,92160000,0.0,0.0
1999-03-02,0.04202126943370513,0.04226056438952754,0.04106684589812276,0.04178289324045181,55248000,0.0,0.0
1999-03-03,0.04202126383406184,0.04202126383406184,0.03867940376099742,0.03891777992248535,61392000,0.0,0.0
1999-03-04,0.0408275452862393,0.041066840208910896,0.03772406139104314,0.03808162733912468,57360000,0.0,0.0
1999-03-05,0.038440122754308,0.04034988902498229,0.038440122754308,0.040230702608823776,78768000,0.0,0.0
1999-03-08,0.039156156819547844,0.042021264623459356,0.03844010955918595,0.04082754626870155,75888000,0.0,0.0
1999-03-09,0.04070837497774454,0.04273824648273318,0.04070837497774454,0.0421413853764534,143184000,0.0,0.0
1999-03-10,0.04273823593538198,0.04273823593538198,0.0408275513213404,0.04142441228032112,235344000,0.0,0.0
1999-03-11,0.04070837646470895,0.04142442401655399,0.039633844047784805,0.039633844047784805,54288000,0.0,0.0
1999-03-12,0.039873122093330424,0.039873122093330424,0.03820173267557488,0.03891777992248535,90768000,0.0,0.0
1999-03-15,0.03987314339017284,0.04106686236008901,0.039633848338427174,0.040589191019535065,108816000,0.0,0.0
1999-03-16,0.04082753353433354,0.041305204479740835,0.038917768514881726,0.03927624970674515,79152000,0.0,0.0
1999-03-17,0.0396338248495552,0.04034987205455411,0.03855929636859718,0.03951463848352432,51360000,0.0,0.0
1999-03-18,0.03963383648594234,0.04058917888135542,0.038679412853191895,0.0399923212826252,46320000,0.0,0.0
1999-03-19,0.039873128296570706,0.04130522301318901,0.039873128296570706,0.04011150449514389,105312000,0.0,0.0
1999-03-22,0.04094673529020969,0.04106684042566343,0.03891777992248535,0.03891777992248535,36672000,0.0,0.0
1999-03-23,0.0391561546854051,0.0391561546854051,0.03581429473170426,0.03653034195303917,163968000,0.0,0.0
1999-03-24,0.03629104793071747,0.0365303394139994,0.0348589501721119,0.03629104793071747,60864000,0.0,0.0
1999-03-25,0.03617186606293781,0.038201737007831964,0.03605267626094027,0.036768727004528046,40320000,0.0,0.0
1999-03-26,0.03724639926007227,0.040111507683648885,0.03724639926007227,0.0399923212826252,88272000,0.0,0.0
